States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"44,580","9,265","35,030",285
FCT,"15,682","4,631","10,932",119
Plateau,"7,465",820,"6,592",53
Kaduna,"7,274","1,039","6,179",56
Oyo,"4,996",823,"4,101",72
Rivers,"4,844",870,"3,896",78
Edo,"3,548",495,"2,920",133
Ogun,"3,133",488,"2,606",39
Kano,"2,770",343,"2,354",73
Delta,"2,223",434,"1,737",52
Ondo,"2,188",142,"2,000",46
Kwara,"1,793",331,"1,424",38
Katsina,"1,730",33,"1,670",27
Enugu,"1,644",248,"1,375",21
Gombe,"1,567",188,"1,337",42
Nasarawa,"1,490","1,152",325,13
Osun,"1,395",302,"1,066",27
Ebonyi,"1,330",228,"1,072",30
Abia,"1,162",81,"1,069",12
Bauchi,"1,120",40,"1,063",17
Imo,917,124,776,17
Borno,880,70,774,36
Akwa Ibom,775,301,464,10
Anambra,720,366,334,20
Benue,694,163,513,18
Sokoto,689,87,576,26
Bayelsa,655,81,550,24
Niger,617,186,417,14
Adamawa,608,344,238,26
Ekiti,507,65,434,8
Jigawa,441,42,388,11
Taraba,324,79,233,12
Kebbi,267,51,203,13
Yobe,211,6,197,8
Zamfara,179,14,160,5
Cross River,179,1,166,12
Kogi,5,0,3,2
